"LBDINSI.Code.or.Value","LBDINSI.Value.Description","LBDINSI.Count","LBDINSI.Cumulative","LBDINSI.Skip.to.Item"
"0.85 to 3885","Range of Values",2881,2881,NA
".","Missing",358,3239,NA
