"PAXMSTD.Code.or.Value","PAXMSTD.Value.Description","PAXMSTD.Count","PAXMSTD.Cumulative","PAXMSTD.Skip.to.Item"
"Start time: (HH:MM:SS)","Value was recorded",69018,69018,NA
"< blank >","Missing",0,69018,NA
