"TYXA170.Code.or.Value","TYXA170.Value.Description","TYXA170.Count","TYXA170.Cumulative","TYXA170.Skip.to.Item"
"0.09 to 6.384","Range of Values",1708,1708,NA
".","Missing",3877,5585,NA
