"WBXA031.Code.or.Value","WBXA031.Value.Description","WBXA031.Count","WBXA031.Cumulative","WBXA031.Skip.to.Item"
"-5.4763 to 0.9999","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
