"DR2TFOLA.Code.or.Value","DR2TFOLA.Value.Description","DR2TFOLA.Count","DR2TFOLA.Cumulative","DR2TFOLA.Skip.to.Item"
"0 to 3050","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
