"DIQ240.Code.or.Value","DIQ240.Value.Description","DIQ240.Count","DIQ240.Cumulative","DIQ240.Skip.to.Item"
"1","Yes",535,535,""
"2","No",173,708,"DID260"
"7","Refused",0,708,"DID260"
"9","Don't know",0,708,"DID260"
".","Missing",8656,9364,""
