"DXXPOSTH.Code.or.Value","DXXPOSTH.Value.Description","DXXPOSTH.Count","DXXPOSTH.Cumulative","DXXPOSTH.Skip.to.Item"
"45.1 to 82.8","Range of Values",3302,3302,NA
".","Missing",406,3708,NA
