"ARD118BO.Code.or.Value","ARD118BO.Value.Description","ARD118BO.Count","ARD118BO.Cumulative","ARD118BO.Skip.to.Item"
"91","ALL OTHER CAUSES",53,53,NA
".","Missing",5053,5106,NA
