"URDHEMLC.Code.or.Value","URDHEMLC.Value.Description","URDHEMLC.Count","URDHEMLC.Cumulative","URDHEMLC.Skip.to.Item"
"0","At or above the detection limit",1462,1462,NA
"1","Below lower detection limit",1004,2466,NA
".","Missing",85,2551,NA
