"DR2TCALC.Code.or.Value","DR2TCALC.Value.Description","DR2TCALC.Count","DR2TCALC.Cumulative","DR2TCALC.Skip.to.Item"
"0 to 5620","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
