"DRD350F.Code.or.Value","DRD350F.Value.Description","DRD350F.Count","DRD350F.Cumulative","DRD350F.Skip.to.Item"
"1","Yes",83,83,""
"2","No",1222,1305,"DRD350G"
".","Missing",9172,10477,""
