"DXXPT14Y.Code.or.Value","DXXPT14Y.Value.Description","DXXPT14Y.Count","DXXPT14Y.Cumulative","DXXPT14Y.Skip.to.Item"
"180.2 to 425.6","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
