"KIQ221.Code.or.Value","KIQ221.Value.Description","KIQ221.Count","KIQ221.Cumulative","KIQ221.Skip.to.Item"
"39 to 88","Range of Values",54,54,NA
"777","Refused",0,54,NA
"999","Don't know",0,54,NA
".","Missing",1547,1601,NA
