"VTQ270B.Code.or.Value","VTQ270B.Value.Description","VTQ270B.Count","VTQ270B.Cumulative","VTQ270B.Skip.to.Item"
"1 to 72","Range of Values",2841,2841,NA
"777","Refused",0,2841,NA
"999","Don't know",4,2845,NA
".","Missing",700,3545,NA
