"DXXPT21Y.Code.or.Value","DXXPT21Y.Value.Description","DXXPT21Y.Count","DXXPT21Y.Cumulative","DXXPT21Y.Skip.to.Item"
"107.7 to 297.1","Range of Values",3194,3194,NA
".","Missing",514,3708,NA
