"LBDSF4LC.Code.or.Value","LBDSF4LC.Value.Description","LBDSF4LC.Count","LBDSF4LC.Cumulative","LBDSF4LC.Skip.to.Item"
"0","At or above the detection limit",6354,6354,NA
"1","Below lower detection limit",1124,7478,NA
".","Missing",1478,8956,NA
