"ORXH59.Code.or.Value","ORXH59.Value.Description","ORXH59.Count","ORXH59.Cumulative","ORXH59.Skip.to.Item"
"1","Positive",15,15,NA
"2","Negative",4531,4546,NA
"3","Not evaluated",297,4843,NA
".","Missing",0,4843,NA
