"DS2TLZ.Code.or.Value","DS2TLZ.Value.Description","DS2TLZ.Count","DS2TLZ.Cumulative","DS2TLZ.Skip.to.Item"
"100 to 83200","Range of Values",431,431,NA
".","Missing",9113,9544,NA
