"LBCMIRLA.Code.or.Value","LBCMIRLA.Value.Description","LBCMIRLA.Count","LBCMIRLA.Cumulative","LBCMIRLA.Skip.to.Item"
"0.5162 to 30.82","Range of Values",251,251,NA
".","Missing",0,251,NA
