"DR2TFDFE.Code.or.Value","DR2TFDFE.Value.Description","DR2TFDFE.Count","DR2TFDFE.Cumulative","DR2TFDFE.Skip.to.Item"
"0 to 5579","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
