"LBXCRP.Code.or.Value","LBXCRP.Value.Description","LBXCRP.Count","LBXCRP.Cumulative","LBXCRP.Skip.to.Item"
"0.02 to 25.4","Range of Values",7200,7200,NA
"0.01","Below Limit of Detection",1054,8254,NA
".","Missing",925,9179,NA
