"DR2TVD.Code.or.Value","DR2TVD.Value.Description","DR2TVD.Count","DR2TVD.Cumulative","DR2TVD.Skip.to.Item"
"0 to 94.4","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
