"LBDPFOSL.Code.or.Value","LBDPFOSL.Value.Description","LBDPFOSL.Count","LBDPFOSL.Cumulative","LBDPFOSL.Skip.to.Item"
"0","At or above the detection limit",2229,2229,NA
"1","Below lower detection limit",4,2233,NA
".","Missing",199,2432,NA
