"LBDSF5LC.Code.or.Value","LBDSF5LC.Value.Description","LBDSF5LC.Count","LBDSF5LC.Cumulative","LBDSF5LC.Skip.to.Item"
"0","At or above the detection limit",531,531,NA
"1","Below lower detection limit",4040,4571,NA
".","Missing",521,5092,NA
