"BIXS245K.Code.or.Value","BIXS245K.Value.Description","BIXS245K.Count","BIXS245K.Cumulative","BIXS245K.Skip.to.Item"
"96.52 to 844.06","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
