"URXUAS.Code.or.Value","URXUAS.Value.Description","URXUAS.Count","URXUAS.Cumulative","URXUAS.Skip.to.Item"
"0.28 to 903.84","Range of Values",2525,2525,NA
".","Missing",80,2605,NA
