"WTSPH37.Code.or.Value","WTSPH37.Value.Description","WTSPH37.Count","WTSPH37.Cumulative","WTSPH37.Skip.to.Item"
"0 to 785043.84416","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
