"DS2TLZ.Code.or.Value","DS2TLZ.Value.Description","DS2TLZ.Count","DS2TLZ.Cumulative","DS2TLZ.Skip.to.Item"
"37.5 to 150000","Range of Values",558,558,NA
".","Missing",9695,10253,NA
