"SMQ910.Code.or.Value","SMQ910.Value.Description","SMQ910.Count","SMQ910.Cumulative","SMQ910.Skip.to.Item"
"1","Yes",861,861,""
"2","No",4994,5855,"SMAQUEX2"
"7","Refused",0,5855,"SMAQUEX2"
"9","Don't know",1,5856,"SMAQUEX2"
".","Missing",868,6724,""
