"LBXSF1SI.Code.or.Value","LBXSF1SI.Value.Description","LBXSF1SI.Count","LBXSF1SI.Cumulative","LBXSF1SI.Skip.to.Item"
"5.37 to 190","Range of Values",2734,2734,NA
".","Missing",388,3122,NA
