"OHQ020.Code.or.Value","OHQ020.Value.Description","OHQ020.Count","OHQ020.Cumulative","OHQ020.Skip.to.Item"
"1","Always,",108,108,NA
"2","Very often,",97,205,NA
"3","Often,",146,351,NA
"4","Sometimes,",535,886,NA
"5","Seldom, or",552,1438,NA
"6","Never?",3998,5436,NA
"77","Refused",5,5441,NA
"99","Don't know",2,5443,NA
".","Missing",3787,9230,NA
