"DXXPT32X.Code.or.Value","DXXPT32X.Value.Description","DXXPT32X.Count","DXXPT32X.Cumulative","DXXPT32X.Skip.to.Item"
"460.5 to 1056.2","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
