"PFQ061D.Code.or.Value","PFQ061D.Value.Description","PFQ061D.Count","PFQ061D.Cumulative","PFQ061D.Skip.to.Item"
"1","No difficulty",1250,1250,NA
"2","Some difficulty",707,1957,NA
"3","Much difficulty",304,2261,NA
"4","Unable to do",190,2451,NA
"5","Do not do this activity",60,2511,NA
"7","Refused",1,2512,NA
"9","Don't know",0,2512,NA
".","Missing",5838,8350,NA
