"TYXP036.Code.or.Value","TYXP036.Value.Description","TYXP036.Count","TYXP036.Cumulative","TYXP036.Skip.to.Item"
"-24 to 190","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
