"LBCTNALA.Code.or.Value","LBCTNALA.Value.Description","LBCTNALA.Count","LBCTNALA.Cumulative","LBCTNALA.Skip.to.Item"
"0.7071 to 139.3","Range of Values",251,251,NA
".","Missing",0,251,NA
