"FFQ0021.Code.or.Value","FFQ0021.Value.Description","FFQ0021.Count","FFQ0021.Cumulative","FFQ0021.Skip.to.Item"
1,"Yes",4739,4739,""
2,"No",1384,6123,"FFQ0022"
88,"Blank",348,6471,""
99,"Error",1,6472,""
