"CBQ698b.Code.or.Value","CBQ698b.Value.Description","CBQ698b.Count","CBQ698b.Cumulative","CBQ698b.Skip.to.Item"
"2","The print is too small for me to read",24,24,NA
".","Missing",2921,2945,NA
