"SXD642.Code.or.Value","SXD642.Value.Description","SXD642.Count","SXD642.Cumulative","SXD642.Skip.to.Item"
"0 to 13880","Range of Values",1240,1240,NA
"77777","Refused",9,1249,NA
"99999","Don't know",6,1255,NA
".","Missing",4047,5302,NA
