"LBXV2A.Code.or.Value","LBXV2A.Value.Description","LBXV2A.Count","LBXV2A.Cumulative","LBXV2A.Skip.to.Item"
"0.007 to 0.095","Range of Values",3035,3035,NA
".","Missing",359,3394,NA
