"LB2BPB.Code.or.Value","LB2BPB.Value.Description","LB2BPB.Count","LB2BPB.Cumulative","LB2BPB.Skip.to.Item"
"0.2 to 13.1","Range of Values",551,551,NA
".","Missing",0,551,NA
