"DTD030Q.Code.or.Value","DTD030Q.Value.Description","DTD030Q.Count","DTD030Q.Cumulative","DTD030Q.Skip.to.Item"
"0 to 96","Range of Values",7853,7853,NA
"777","Refused",3,7856,NA
"999","Don't know",5,7861,NA
".","Missing",680,8541,NA
