"AUXLR220.Code.or.Value","AUXLR220.Value.Description","AUXLR220.Count","AUXLR220.Cumulative","AUXLR220.Skip.to.Item"
"-75 to 70","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
