"AUXRR213.Code.or.Value","AUXRR213.Value.Description","AUXRR213.Count","AUXRR213.Cumulative","AUXRR213.Skip.to.Item"
"-42 to 47","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
