"OSD110a.Code.or.Value","OSD110a.Value.Description","OSD110a.Count","OSD110a.Cumulative","OSD110a.Skip.to.Item"
"20 to 78","Range of Values",226,226,NA
"80","80 or older",6,232,NA
"777","Refused",0,232,NA
"999","Don't know",4,236,NA
".","Missing",3579,3815,NA
