"URDUSBLC.Code.or.Value","URDUSBLC.Value.Description","URDUSBLC.Count","URDUSBLC.Cumulative","URDUSBLC.Skip.to.Item"
"0","At or above the detection limit",1926,1926,NA
"1","Below lower detection limit",447,2373,NA
".","Missing",89,2462,NA
