"DR2BWATZ.Code.or.Value","DR2BWATZ.Value.Description","DR2BWATZ.Count","DR2BWATZ.Cumulative","DR2BWATZ.Skip.to.Item"
"0 to 8887.5","Range of Values",8406,8406,NA
".","Missing",1847,10253,NA
