"RFXT038.Code.or.Value","RFXT038.Value.Description","RFXT038.Count","RFXT038.Cumulative","RFXT038.Skip.to.Item"
"318 to 327","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
