"TYXP066.Code.or.Value","TYXP066.Value.Description","TYXP066.Count","TYXP066.Cumulative","TYXP066.Skip.to.Item"
"-129 to 131","Range of Values",8466,8466,NA
".","Missing",3,8469,NA
