"DXXIAY.Code.or.Value","DXXIAY.Value.Description","DXXIAY.Count","DXXIAY.Cumulative","DXXIAY.Skip.to.Item"
"151.3 to 386","Range of Values",3294,3294,NA
".","Missing",414,3708,NA
