"URDTNE3.Code.or.Value","URDTNE3.Value.Description","URDTNE3.Count","URDTNE3.Cumulative","URDTNE3.Skip.to.Item"
"0.2757 to 717.3","Range of Values",1119,1119,NA
".","Missing",1486,2605,NA
