"DUQ410.Code.or.Value","DUQ410.Value.Description","DUQ410.Count","DUQ410.Cumulative","DUQ410.Skip.to.Item"
"1","Once",8,8,"DUQ430"
"2","2-5 times",20,28,""
"3","6-19 times",12,40,""
"4","20-49 times",8,48,""
"5","50-99 times",14,62,""
"6","100 times or more",28,90,""
"77","Refused",1,91,""
"99","Don't know",0,91,""
".","Missing",4752,4843,""
