"VIQ017.Code.or.Value","VIQ017.Value.Description","VIQ017.Count","VIQ017.Cumulative","VIQ017.Skip.to.Item"
"1","Yes",1,1,"VIQ071"
"2","No",0,1,""
"7","Refused",0,1,""
"9","Don't know",0,1,""
".","Missing",7266,7267,""
