"AUXLR236.Code.or.Value","AUXLR236.Value.Description","AUXLR236.Count","AUXLR236.Cumulative","AUXLR236.Skip.to.Item"
"-9 to 42","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
