"SLQ220.Code.or.Value","SLQ220.Value.Description","SLQ220.Count","SLQ220.Cumulative","SLQ220.Skip.to.Item"
"1","Don't do this activity for other reasons",305,305,NA
"2","No difficulty",4955,5260,NA
"3","Yes, a little difficulty",685,5945,NA
"4","Yes, moderate difficulty",145,6090,NA
"5","Yes, extreme difficulty",42,6132,NA
"7","Refused",3,6135,NA
"9","Don't know",4,6139,NA
".","Missing",0,6139,NA
