"AUDTYR23.Code.or.Value","AUDTYR23.Value.Description","AUDTYR23.Count","AUDTYR23.Cumulative","AUDTYR23.Skip.to.Item"
"0 to 2.5","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
