"DS1DSCNT.Code.or.Value","DS1DSCNT.Value.Description","DS1DSCNT.Count","DS1DSCNT.Cumulative","DS1DSCNT.Skip.to.Item"
"0 to 20","Range of Values",8641,8641,NA
".","Missing",1172,9813,NA
