"AUDTYL01.Code.or.Value","AUDTYL01.Value.Description","AUDTYL01.Count","AUDTYL01.Cumulative","AUDTYL01.Skip.to.Item"
"0 to 2.59","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
