"OSQ030bc.Code.or.Value","OSQ030bc.Value.Description","OSQ030bc.Count","OSQ030bc.Cumulative","OSQ030bc.Skip.to.Item"
"9 to 67","Range of Values",25,25,NA
"77777","Refused",0,25,NA
"99999","Don't know",2,27,NA
".","Missing",5384,5411,NA
