"SMD100MN.Code.or.Value","SMD100MN.Value.Description","SMD100MN.Count","SMD100MN.Cumulative","SMD100MN.Skip.to.Item"
"0","Non-menthol",882,882,NA
"1","Menthol",374,1256,NA
".","Missing",5889,7145,NA
