"DSQIFDFE.Code.or.Value","DSQIFDFE.Value.Description","DSQIFDFE.Count","DSQIFDFE.Cumulative","DSQIFDFE.Skip.to.Item"
"8.5 to 20400","Range of Values",2837,2837,NA
".","Missing",5563,8400,NA
