"LBXMFOS.Code.or.Value","LBXMFOS.Value.Description","LBXMFOS.Count","LBXMFOS.Cumulative","LBXMFOS.Skip.to.Item"
"0.07 to 19.2","Range of Values",1993,1993,NA
".","Missing",177,2170,NA
