"DSQTPOTA.Code.or.Value","DSQTPOTA.Value.Description","DSQTPOTA.Count","DSQTPOTA.Cumulative","DSQTPOTA.Skip.to.Item"
"0.08 to 3900","Range of Values",880,880,NA
".","Missing",9091,9971,NA
