"URDCYMLC.Code.or.Value","URDCYMLC.Value.Description","URDCYMLC.Count","URDCYMLC.Cumulative","URDCYMLC.Skip.to.Item"
"0","At or above the detection limit",2133,2133,NA
"1","Below lower detection limit",522,2655,NA
".","Missing",324,2979,NA
