"SXQ101.Code.or.Value","SXQ101.Value.Description","SXQ101.Count","SXQ101.Cumulative","SXQ101.Skip.to.Item"
"0 to 900","Range of Values",1919,1919,NA
"77777","Refused",23,1942,NA
"99999","Don't know",5,1947,NA
".","Missing",2678,4625,NA
